"location","total_vaccinations","cum_total_vaccinations"
"Antigua and Barbuda","2021-03-31",103101
"Antigua and Barbuda","2021-04-03",130133
"Antigua and Barbuda","2021-04-14",157725
"Antigua and Barbuda","2021-04-16",186139
"Antigua and Barbuda","2021-04-17",214778
"Antigua and Barbuda","2021-04-22",244532
"Antigua and Barbuda","2021-05-07",275617
"Antigua and Barbuda","2021-05-11",306879
"Antigua and Barbuda","2021-05-17",341320
"Antigua and Barbuda","2021-05-21",380839
"Antigua and Barbuda","2021-05-25",422848
"Antigua and Barbuda","2021-05-26",467078
"Antigua and Barbuda","2021-05-27",513017
"Antigua and Barbuda","2021-05-29",561364
"Antigua and Barbuda","2021-05-31",611693
"Antigua and Barbuda","2021-06-03",663504
"Antigua and Barbuda","2021-06-06",719082
"Antigua and Barbuda","2021-06-07",776346
"Antigua and Barbuda","2021-06-09",834420
"Antigua and Barbuda","2021-06-12",893147
"Antigua and Barbuda","2021-06-15",952729
"Antigua and Barbuda","2021-06-17",1014933
"Argentina","2020-12-29",700
"Argentina","2020-12-31",32713
"Argentina","2021-01-04",72312
"Argentina","2021-01-08",179854
"Argentina","2021-01-13",346687
"Argentina","2021-01-15",547446
"Argentina","2021-01-20",795379
"Argentina","2021-01-21",1061103
"Argentina","2021-01-22",1340705
"Argentina","2021-01-23",1628769
"Argentina","2021-01-24",1920792
"Argentina","2021-01-25",2213178
"Argentina","2021-01-26",2519058
"Argentina","2021-01-27",2837091
"Argentina","2021-01-28",3165090
"Argentina","2021-01-29",3509124
"Argentina","2021-01-30",3875508
"Argentina","2021-02-01",4251359
"Argentina","2021-02-03",4647921
"Argentina","2021-02-04",5091939
"Argentina","2021-02-06",5563322
"Argentina","2021-02-07",6064474
"Argentina","2021-02-08",6576056
"Argentina","2021-02-09",7089234
"Argentina","2021-02-10",7624537
"Argentina","2021-02-11",8197465
"Argentina","2021-02-12",8789097
"Argentina","2021-02-13",9395342
"Argentina","2021-02-14",10004947
"Argentina","2021-02-15",10614738
"Argentina","2021-02-16",11225907
"Argentina","2021-02-17",11838229
"Argentina","2021-02-18",12473812
"Argentina","2021-02-19",13142466
