"location","total_vaccinations","cum_total_vaccinations"
"Canada","2021-05-21",795468238
"Canada","2021-05-22",816186347
"Canada","2021-05-23",837212953
"Canada","2021-05-24",858594497
"Canada","2021-05-25",880232220
"Canada","2021-05-26",902171266
"Canada","2021-05-27",924518579
"Canada","2021-05-28",947329288
"Canada","2021-05-29",970486317
"Canada","2021-05-30",993958533
"Canada","2021-05-31",1017820930
"Canada","2021-06-01",1041990276
"Canada","2021-06-02",1066512340
"Canada","2021-06-03",1091445864
"Canada","2021-06-04",1116843312
"Canada","2021-06-05",1142615799
"Canada","2021-06-06",1168711263
"Canada","2021-06-07",1195214691
"Canada","2021-06-08",1222070338
"Canada","2021-06-09",1249328112
"Canada","2021-06-10",1277057676
"Canada","2021-06-11",1305298150
"Canada","2021-06-12",1333942592
"Canada","2021-06-13",1362966123
"Canada","2021-06-14",1392436869
"Canada","2021-06-15",1422354721
"Canada","2021-06-16",1452734347
"Canada","2021-06-17",1483619439
"Canada","2021-06-18",1515036786
"Canada","2021-06-19",1546873164
"Canada","2021-06-20",1579062438
"Canada","2021-06-21",1611648707
"Cape Verde","2021-03-24",2184
"Cape Verde","2021-05-12",23502
"Cape Verde","2021-05-18",46033
"Cape Verde","2021-05-21",70060
"Cape Verde","2021-05-26",94442
"Cape Verde","2021-06-08",128891
"Cape Verde","2021-06-10",168102
"Cape Verde","2021-06-14",213044
"Cape Verde","2021-06-15",260987
"Cape Verde","2021-06-20",324593
"Cayman Islands","2021-02-04",11008
"Cayman Islands","2021-02-09",24617
"Cayman Islands","2021-02-10",38703
"Cayman Islands","2021-02-12",54246
"Cayman Islands","2021-02-17",70971
"Cayman Islands","2021-02-19",88256
"Cayman Islands","2021-02-20",106415
"Cayman Islands","2021-02-23",126353
"Cayman Islands","2021-02-24",146821
"Cayman Islands","2021-02-25",167927
"Cayman Islands","2021-03-03",191935
"Cayman Islands","2021-03-05",218515
"Cayman Islands","2021-03-12",250495
"Cayman Islands","2021-03-16",286479
"Cayman Islands","2021-03-18",324783
"Cayman Islands","2021-03-19",363928
"Cayman Islands","2021-03-22",405083
"Cayman Islands","2021-03-24",448106
"Cayman Islands","2021-03-25",492167
"Cayman Islands","2021-03-29",539769
"Cayman Islands","2021-03-31",589330
"Cayman Islands","2021-04-01",640093
"Cayman Islands","2021-04-07",693567
"Cayman Islands","2021-04-08",748620
"Cayman Islands","2021-04-09",804834
"Cayman Islands","2021-04-13",864307
"Cayman Islands","2021-04-15",924944
"Cayman Islands","2021-04-16",986058
"Cayman Islands","2021-04-20",1049408
"Cayman Islands","2021-04-21",1113182
"Cayman Islands","2021-04-30",1178876
"Cayman Islands","2021-05-05",1248449
"Cayman Islands","2021-05-07",1318221
"Cayman Islands","2021-05-13",1391479
"Cayman Islands","2021-05-14",1465200
"Cayman Islands","2021-05-19",1540484
"Cayman Islands","2021-05-25",1619106
"Cayman Islands","2021-05-26",1698450
"Cayman Islands","2021-05-28",1778570
"Cayman Islands","2021-06-02",1861791
"Cayman Islands","2021-06-03",1945761
"Cayman Islands","2021-06-05",2030617
"Cayman Islands","2021-06-08",2117328
"Cayman Islands","2021-06-17",2204845
"Cayman Islands","2021-06-21",2293756
"Central African Republic","2021-05-12",667
"Central African Republic","2021-05-31",19075
"Central African Republic","2021-06-08",45616
"Central African Republic","2021-06-14",75373
"Central African Republic","2021-06-15",118017
"Chad","2021-06-10",5324
"Chile","2020-12-24",420
"Chile","2020-12-25",5618
"Chile","2020-12-26",13956
"Chile","2020-12-27",22605
"Chile","2020-12-28",31254
"Chile","2020-12-29",39903
"Chile","2020-12-30",48552
"Chile","2020-12-31",57201
"Chile","2021-01-01",65850
"Chile","2021-01-02",74499
"Chile","2021-01-03",83148
"Chile","2021-01-04",92202
"Chile","2021-01-05",102699
"Chile","2021-01-06",113401
"Chile","2021-01-07",124103
"Chile","2021-01-08",134805
"Chile","2021-01-09",145507
"Chile","2021-01-10",156209
"Chile","2021-01-11",166911
"Chile","2021-01-12",177613
"Chile","2021-01-13",189345
"Chile","2021-01-14",207991
"Chile","2021-01-15",230068
"Chile","2021-01-16",252235
"Chile","2021-01-17",274402
"Chile","2021-01-18",307606
"Chile","2021-01-19",360166
"Chile","2021-01-20",422029
"Chile","2021-01-21",486952
"Chile","2021-01-22",552287
"Chile","2021-01-23",617622
"Chile","2021-01-24",682957
"Chile","2021-01-25",749712
"Chile","2021-01-26",817083
"Chile","2021-01-27",884489
"Chile","2021-01-28",951895
"Chile","2021-01-29",1019306
"Chile","2021-01-30",1086718
"Chile","2021-01-31",1154130
"Chile","2021-02-01",1221542
"Chile","2021-02-02",1302141
"Chile","2021-02-03",1553105
"Chile","2021-02-04",1980203
"Chile","2021-02-05",2576655
"Chile","2021-02-06",3200961
"Chile","2021-02-07",3833903
"Chile","2021-02-08",4700084
"Chile","2021-02-09",5828109
"Chile","2021-02-10",7236894
"Chile","2021-02-11",8899914
"Chile","2021-02-12",10792385
"Chile","2021-02-13",12714408
"Chile","2021-02-14",14640897
"Chile","2021-02-15",16833250
"Chile","2021-02-16",19245637
"Chile","2021-02-17",21846066
"Chile","2021-02-18",24601754
"Chile","2021-02-19",27499561
"Chile","2021-02-20",30407007
"Chile","2021-02-21",33315615
"Chile","2021-02-22",36332359
"Chile","2021-02-23",39443353
"Chile","2021-02-24",42640620
"Chile","2021-02-25",45923958
"Chile","2021-02-26",49285666
"Chile","2021-02-27",52657356
"Chile","2021-02-28",56029401
"Chile","2021-03-01",59538946
"Chile","2021-03-02",63219774
"Chile","2021-03-03",67212444
"Chile","2021-03-04",71515588
"Chile","2021-03-05",76116497
"Chile","2021-03-06",80751181
"Chile","2021-03-07",85393823
"Chile","2021-03-08",90386986
"Chile","2021-03-09",95756584
"Chile","2021-03-10",101527419
"Chile","2021-03-11",107715227
"Chile","2021-03-12",114277273
"Chile","2021-03-13",120889767
"Chile","2021-03-14",127508844
"Chile","2021-03-15",134558001
"Chile","2021-03-16",142017008
"Chile","2021-03-17",149842802
"Chile","2021-03-18",158002631
"Chile","2021-03-19",166452966
"Chile","2021-03-20",174937430
"Chile","2021-03-21",183425913
"Chile","2021-03-22",192180230
"Chile","2021-03-23",201171996
"Chile","2021-03-24",210381309
"Chile","2021-03-25",219802226
"Chile","2021-03-26",229440099
"Chile","2021-03-27",239093610
"Chile","2021-03-28",248748513
"Chile","2021-03-29",258669608
"Chile","2021-03-30",268868480
"Chile","2021-03-31",279347002
"Chile","2021-04-01",290128271
"Chile","2021-04-02",300916567
"Chile","2021-04-03",311708084
"Chile","2021-04-04",322500719
"Chile","2021-04-05",333577551
"Chile","2021-04-06",344893405
"Chile","2021-04-07",356441863
"Chile","2021-04-08",368229211
"Chile","2021-04-09",380234885
"Chile","2021-04-10",392266480
"Chile","2021-04-11",404300517
"Chile","2021-04-12",416570808
"Chile","2021-04-13",429075403
"Chile","2021-04-14",441808231
"Chile","2021-04-15",454746563
"Chile","2021-04-16",467875306
"Chile","2021-04-17",481026206
"Chile","2021-04-18",494179721
"Chile","2021-04-19",507525357
"Chile","2021-04-20",521056802
"Chile","2021-04-21",534764093
"Chile","2021-04-22",548670768
"Chile","2021-04-23",562760282
"Chile","2021-04-24",576867377
"Chile","2021-04-25",590975511
"Chile","2021-04-26",605279348
"Chile","2021-04-27",619753514
"Chile","2021-04-28",634395958
"Chile","2021-04-29",649193111
"Chile","2021-04-30",664077617
"Chile","2021-05-01",678964387
"Chile","2021-05-02",693852614
"Chile","2021-05-03",708892046
"Chile","2021-05-04",724100330
"Chile","2021-05-05",739482953
"Chile","2021-05-06",755023084
"Chile","2021-05-07",770710382
"Chile","2021-05-08",786423106
"Chile","2021-05-09",802137233
"Chile","2021-05-10",818024379
"Chile","2021-05-11",834103241
"Chile","2021-05-12",850364487
"Chile","2021-05-13",866782531
"Chile","2021-05-14",883359149
"Chile","2021-05-15",899937212
"Chile","2021-05-16",916515710
"Chile","2021-05-17",933265275
"Chile","2021-05-18",950197705
"Chile","2021-05-19",967295776
"Chile","2021-05-20",984583608
"Chile","2021-05-21",1001880503
"Chile","2021-05-22",1019210069
"Chile","2021-05-23",1036543909
"Chile","2021-05-24",1054113952
"Chile","2021-05-25",1071929468
"Chile","2021-05-26",1089973159
"Chile","2021-05-27",1108219059
"Chile","2021-05-28",1126650342
"Chile","2021-05-29",1145128823
"Chile","2021-05-30",1163617370
"Chile","2021-05-31",1182320668
"Chile","2021-06-01",1201244122
"Chile","2021-06-02",1220370881
"Chile","2021-06-03",1239660634
"Chile","2021-06-04",1259094832
"Chile","2021-06-05",1278566561
"Chile","2021-06-06",1298043265
"Chile","2021-06-07",1317700630
"Chile","2021-06-08",1337541608
"Chile","2021-06-09",1357575056
"Chile","2021-06-10",1377810735
"Chile","2021-06-11",1398224331
"Chile","2021-06-12",1418670332
"Chile","2021-06-13",1439118391
"Chile","2021-06-14",1459786804
"Chile","2021-06-15",1480664773
"Chile","2021-06-16",1501767264
"Chile","2021-06-17",1523050632
"Chile","2021-06-18",1544436448
"China","2020-12-15",1500000
"China","2020-12-31",6000000
"China","2021-01-09",15000000
"China","2021-01-13",25000000
"China","2021-01-20",40000000
"China","2021-01-27",62767000
"China","2021-01-31",86767000
"China","2021-02-03",117967000
"China","2021-02-09",158487000
"China","2021-02-28",211007000
"China","2021-03-14",275987000
"China","2021-03-20",350943000
"China","2021-03-22",431403000
"China","2021-03-23",514249000
"China","2021-03-24",600108700
"China","2021-03-25",691454700
"China","2021-03-26",788924700
"China","2021-03-27",891341700
"China","2021-03-28",997954700
"China","2021-03-29",1108916700
"China","2021-03-30",1223606700
"China","2021-03-31",1343427700
"China","2021-04-01",1470043700
"China","2021-04-02",1603844700
"China","2021-04-03",1740521700
"China","2021-04-04",1880491700
"China","2021-04-05",2023293700
"China","2021-04-06",2169213700
"China","2021-04-07",2318284700
"China","2021-04-08",2473434700
"China","2021-04-09",2634555700
"China","2021-04-10",2799026700
"China","2021-04-11",2966369700
"China","2021-04-12",3138297700
"China","2021-04-13",3313920700
"China","2021-04-14",3493136700
"China","2021-04-15",3676672700
"China","2021-04-16",3864032700
"China","2021-04-17",4053841700
"China","2021-04-18",4245968700
"China","2021-04-19",4440990700
"China","2021-04-20",4639940700
"China","2021-04-21",4844131700
"China","2021-04-22",5055354700
"China","2021-04-23",5271438700
"China","2021-04-24",5491747700
"China","2021-04-25",5716648700
"China","2021-04-26",5946137700
"China","2021-04-27",6182113700
"China","2021-04-28",6426018700
"China","2021-04-29",6679481700
"China","2021-04-30",6944545700
"China","2021-05-01",7214951700
"China","2021-05-02",7490289700
"China","2021-05-03",7770194700
"China","2021-05-04",8054789700
"China","2021-05-05",8344416700
"China","2021-05-06",8642150700
"China","2021-05-07",8950376700
"China","2021-05-08",9267962700
"China","2021-05-09",9592269700
"China","2021-05-10",9925233700
"China","2021-05-11",10267930700
"China","2021-05-12",10622202700
"China","2021-05-13",10989112700
"China","2021-05-14",11369745700
"China","2021-05-15",11762732700
"China","2021-05-16",12169670700
"China","2021-05-17",12591661700
"China","2021-05-18",13027350700
"China","2021-05-19",13476861700
"China","2021-05-20",13943559700
"China","2021-05-21",14426902700
"China","2021-05-22",14924174700
"China","2021-05-23",15435032700
"China","2021-05-24",15962285700
"China","2021-05-25",16508999700
"China","2021-05-26",17075722700
"China","2021-05-27",17660082700
"China","2021-05-28",18263073700
"China","2021-05-29",18884047700
"China","2021-05-30",19523219700
"China","2021-05-31",20184687700
"China","2021-06-01",20866595700
"China","2021-06-02",21571421700
"China","2021-06-03",22294907700
"China","2021-06-04",23039390700
"China","2021-06-05",23802455700
"China","2021-06-06",24580334700
"China","2021-06-07",25374468700
"China","2021-06-08",26183430700
"China","2021-06-09",27008286700
"China","2021-06-10",27853585700
"China","2021-06-11",28717098700
"China","2021-06-12",29595621700
"China","2021-06-13",30488391700
"China","2021-06-14",31392525700
"China","2021-06-15",32316435700
"China","2021-06-16",33261585700
"China","2021-06-17",34228237700
"China","2021-06-18",35218494700
"China","2021-06-19",36228983700
"China","2021-06-20",37258206700
"China","2021-06-21",38307950700
"Colombia","2021-02-17",18
"Colombia","2021-02-18",9953
"Colombia","2021-02-19",31260
"Colombia","2021-02-20",64400
"Colombia","2021-02-21",104227
"Colombia","2021-02-22",149393
"Colombia","2021-02-23",197543
"Colombia","2021-02-24",248067
"Colombia","2021-02-25",314224
"Colombia","2021-02-26",395557
"Colombia","2021-02-27",509599
"Colombia","2021-02-28",640177
"Colombia","2021-03-01",789310
"Colombia","2021-03-02",958929
"Colombia","2021-03-03",1150409
"Colombia","2021-03-04",1356884
"Colombia","2021-03-05",1596735
"Colombia","2021-03-06",1867146
"Colombia","2021-03-07",2166546
"Colombia","2021-03-08",2482625
"Colombia","2021-03-09",2885720
"Colombia","2021-03-10",3365970
"Colombia","2021-03-11",3955178
"Colombia","2021-03-12",4648668
"Colombia","2021-03-13",5430969
"Colombia","2021-03-14",6274173
"Colombia","2021-03-15",7188134
"Colombia","2021-03-16",8164271
"Colombia","2021-03-17",9188629
"Colombia","2021-03-18",10265125
"Colombia","2021-03-19",11397124
"Colombia","2021-03-20",12579222
"Colombia","2021-03-21",13794230
"Colombia","2021-03-22",15032489
"Colombia","2021-03-23",16332298
"Colombia","2021-03-24",17717801
"Colombia","2021-03-25",19194165
"Colombia","2021-03-26",20790453
"Colombia","2021-03-27",22517377
"Colombia","2021-03-28",24336238
"Colombia","2021-03-29",26301292
"Colombia","2021-03-30",28422822
"Colombia","2021-03-31",30666214
"Colombia","2021-04-01",32967104
"Colombia","2021-04-02",35303248
"Colombia","2021-04-03",37684297
"Colombia","2021-04-04",40092382
"Colombia","2021-04-05",42572053
"Colombia","2021-04-07",45263566
"Colombia","2021-04-08",48076394
"Colombia","2021-04-09",51022616
"Colombia","2021-04-10",54063965
"Colombia","2021-04-12",57237548
"Colombia","2021-04-13",60587774
"Colombia","2021-04-14",64042858
"Colombia","2021-04-16",67632954
"Colombia","2021-04-17",71340170
"Colombia","2021-04-18",75109669
"Colombia","2021-04-19",78976745
"Colombia","2021-04-20",82956320
"Colombia","2021-04-21",87087328
"Colombia","2021-04-22",91311987
"Colombia","2021-04-23",95630301
"Colombia","2021-04-24",100030916
"Colombia","2021-04-25",104482182
"Colombia","2021-04-27",109107555
"Colombia","2021-04-28",113822195
"Colombia","2021-04-29",118646273
"Colombia","2021-04-30",123632744
"Colombia","2021-05-01",128745438
"Colombia","2021-05-02",133965768
"Colombia","2021-05-07",140062429
"Colombia","2021-05-10",146541237
"Colombia","2021-05-11",153214789
"Colombia","2021-05-12",160065952
"Colombia","2021-05-13",167110596
"Colombia","2021-05-15",174485029
"Colombia","2021-05-16",181944361
"Colombia","2021-05-17",189482124
"Colombia","2021-05-18",197200411
"Colombia","2021-05-19",205063213
"Colombia","2021-05-20",213072132
"Colombia","2021-05-22",221307614
"Colombia","2021-05-23",229611879
"Colombia","2021-05-24",238037467
"Colombia","2021-05-25",246650703
"Colombia","2021-05-26",255493063
"Colombia","2021-05-29",265154329
"Colombia","2021-05-30",274980101
"Colombia","2021-05-31",285072223
"Colombia","2021-06-01",295455190
"Colombia","2021-06-02",306152873
"Colombia","2021-06-03",317132856
"Colombia","2021-06-04",328377448
"Colombia","2021-06-05",339863352
"Colombia","2021-06-06",351478617
"Colombia","2021-06-07",363212140
"Colombia","2021-06-08",375189945
"Colombia","2021-06-09",387396049
"Colombia","2021-06-11",400107391
"Colombia","2021-06-12",413025332
"Colombia","2021-06-13",426050118
"Colombia","2021-06-14",439217162
"Colombia","2021-06-17",453279469
"Colombia","2021-06-19",468006995
"Colombia","2021-06-20",482960864
"Colombia","2021-06-21",498259794
"Comoros","2021-04-21",13440
"Comoros","2021-05-12",57168
"Comoros","2021-05-18",102143
"Comoros","2021-05-21",160583
"Comoros","2021-05-26",240606
"Comoros","2021-05-31",324513
"Comoros","2021-06-08",408873
"Congo","2021-04-14",14297
"Congo","2021-05-12",52448
"Congo","2021-05-18",90716
"Congo","2021-06-08",146161
"Congo","2021-06-10",203774
"Congo","2021-06-14",264519
"Congo","2021-06-15",326750
"Congo","2021-06-20",394261
"Cook Islands","2021-05-25",4363
"Cook Islands","2021-06-01",12654
"Cook Islands","2021-06-08",22218
"Cook Islands","2021-06-15",34472
"Cook Islands","2021-06-21",52028
"Costa Rica","2020-12-24",55
"Costa Rica","2021-01-03",2510
"Costa Rica","2021-01-08",12261
"Costa Rica","2021-01-15",37120
"Costa Rica","2021-01-18",66509
"Costa Rica","2021-01-25",114637
"Costa Rica","2021-02-01",172338
"Costa Rica","2021-02-08",247451
"Costa Rica","2021-02-15",344399
"Costa Rica","2021-02-22",445582
"Costa Rica","2021-03-01",595394
"Costa Rica","2021-03-05",788667
"Costa Rica","2021-03-08",993253
"Costa Rica","2021-03-12",1234977
"Costa Rica","2021-03-15",1483059
"Costa Rica","2021-03-22",1795484
"Costa Rica","2021-03-24",2143521
"Costa Rica","2021-03-29",2527876
"Costa Rica","2021-04-06",3032806
"Costa Rica","2021-04-12",3619605
"Costa Rica","2021-04-19",4317932
"Costa Rica","2021-04-26",5136816
"Costa Rica","2021-05-03",6087068
"Costa Rica","2021-05-10",7180999
"Costa Rica","2021-05-17",8432899
"Costa Rica","2021-05-24",9890701
"Costa Rica","2021-06-01",11549386
"Costa Rica","2021-06-07",13455563
"Costa Rica","2021-06-14",15606083
"Cote d'Ivoire","2021-03-06",2058
"Cote d'Ivoire","2021-03-08",4982
"Cote d'Ivoire","2021-03-09",9345
"Cote d'Ivoire","2021-03-10",18147
"Cote d'Ivoire","2021-03-14",33084
"Cote d'Ivoire","2021-03-15",48265
"Cote d'Ivoire","2021-03-16",65713
"Cote d'Ivoire","2021-03-17",84826
"Cote d'Ivoire","2021-03-18",105592
"Cote d'Ivoire","2021-03-19",128035
"Cote d'Ivoire","2021-03-20",152206
"Cote d'Ivoire","2021-03-21",176845
"Cote d'Ivoire","2021-03-22",201573
"Cote d'Ivoire","2021-03-23",227652
"Cote d'Ivoire","2021-03-24",255538
"Cote d'Ivoire","2021-03-25",285073
"Cote d'Ivoire","2021-03-26",316177
"Cote d'Ivoire","2021-03-27",349572
"Cote d'Ivoire","2021-03-29",383960
"Cote d'Ivoire","2021-03-30",421327
"Cote d'Ivoire","2021-03-31",461480
"Cote d'Ivoire","2021-04-01",504205
"Cote d'Ivoire","2021-04-02",549452
"Cote d'Ivoire","2021-04-03",597420
"Cote d'Ivoire","2021-04-04",647062
"Cote d'Ivoire","2021-04-06",697010
"Cote d'Ivoire","2021-04-08",750081
"Cote d'Ivoire","2021-04-09",810904
"Cote d'Ivoire","2021-04-10",877400
"Cote d'Ivoire","2021-04-11",946243
"Cote d'Ivoire","2021-04-14",1029668
"Cote d'Ivoire","2021-04-15",1116935
"Cote d'Ivoire","2021-04-16",1208836
"Cote d'Ivoire","2021-04-17",1302376
"Cote d'Ivoire","2021-04-18",1397194
"Cote d'Ivoire","2021-04-21",1502304
"Cote d'Ivoire","2021-04-22",1611381
"Cote d'Ivoire","2021-04-23",1724605
"Cote d'Ivoire","2021-04-24",1841832
"Cote d'Ivoire","2021-04-25",1960707
"Cote d'Ivoire","2021-04-26",2080370
"Cote d'Ivoire","2021-04-27",2206328
"Cote d'Ivoire","2021-04-28",2338762
"Cote d'Ivoire","2021-04-29",2479032
"Cote d'Ivoire","2021-04-30",2628069
"Cote d'Ivoire","2021-05-01",2787050
"Cote d'Ivoire","2021-05-02",2950226
"Cote d'Ivoire","2021-05-03",3118645
"Cote d'Ivoire","2021-05-04",3301946
"Cote d'Ivoire","2021-05-05",3499438
"Cote d'Ivoire","2021-05-06",3714448
"Cote d'Ivoire","2021-05-07",3950195
"Cote d'Ivoire","2021-05-08",4202512
"Cote d'Ivoire","2021-05-09",4465151
"Cote d'Ivoire","2021-05-10",4732183
"Cote d'Ivoire","2021-05-11",5012982
"Cote d'Ivoire","2021-05-12",5305519
"Cote d'Ivoire","2021-05-13",5600828
"Cote d'Ivoire","2021-05-14",5902325
"Cote d'Ivoire","2021-05-15",6223345
"Cote d'Ivoire","2021-05-16",6557138
"Cote d'Ivoire","2021-05-17",6897187
"Cote d'Ivoire","2021-05-18",7263472
"Cote d'Ivoire","2021-05-19",7654557
"Cote d'Ivoire","2021-05-20",8073012
"Cote d'Ivoire","2021-05-21",8520461
"Cote d'Ivoire","2021-05-22",8993559
"Cote d'Ivoire","2021-05-23",9479790
"Cote d'Ivoire","2021-05-24",9970936
"Cote d'Ivoire","2021-05-25",10467255
"Cote d'Ivoire","2021-05-27",10995339
"Cote d'Ivoire","2021-05-28",11531087
"Cote d'Ivoire","2021-05-29",12071332
"Cote d'Ivoire","2021-05-31",12612781
"Cote d'Ivoire","2021-06-01",13156444
"Cote d'Ivoire","2021-06-02",13711916
"Cote d'Ivoire","2021-06-03",14279404
"Cote d'Ivoire","2021-06-05",14873087
"Cote d'Ivoire","2021-06-06",15475627
"Cote d'Ivoire","2021-06-07",16082534
"Cote d'Ivoire","2021-06-08",16708314
"Cote d'Ivoire","2021-06-09",17352567
"Cote d'Ivoire","2021-06-10",18015415
"Cote d'Ivoire","2021-06-11",18690709
"Cote d'Ivoire","2021-06-12",19377335
"Cote d'Ivoire","2021-06-13",20069858
"Cote d'Ivoire","2021-06-14",20764808
"Cote d'Ivoire","2021-06-15",21469859
"Cote d'Ivoire","2021-06-16",22182636
"Cote d'Ivoire","2021-06-17",22900833
"Cote d'Ivoire","2021-06-18",23622906
"Cote d'Ivoire","2021-06-19",24347498
"Cote d'Ivoire","2021-06-20",25073414
"Croatia","2020-12-30",7864
"Croatia","2021-01-03",20149
"Croatia","2021-01-05",33947
"Croatia","2021-01-07",54550
"Croatia","2021-01-08",79535
"Croatia","2021-01-09",109535
"Croatia","2021-01-13",144088
"Croatia","2021-01-14",182088
"Croatia","2021-01-15",223620
"Croatia","2021-01-16",269526
"Croatia","2021-01-19",323830
"Croatia","2021-01-22",388781
"Croatia","2021-01-25",458765
"Croatia","2021-01-29",538765
"Croatia","2021-02-01",622693
"Croatia","2021-02-03",710622
"Croatia","2021-02-04",806127
"Croatia","2021-02-09",908334
"Croatia","2021-02-11",1021108
"Croatia","2021-02-15",1141711
"Croatia","2021-02-18",1283933
"Croatia","2021-02-22",1450079
"Croatia","2021-02-24",1634155
"Croatia","2021-02-25",1828422
"Croatia","2021-03-01",2041490
"Croatia","2021-03-04",2283490
"Croatia","2021-03-08",2548713
"Croatia","2021-03-12",2849669
"Croatia","2021-03-19",3214751
"Croatia","2021-03-22",3605408
"Croatia","2021-03-26",4022153
"Croatia","2021-03-28",4452549
"Croatia","2021-03-31",4929048
"Croatia","2021-04-01",5427465
"Croatia","2021-04-02",5944577
"Croatia","2021-04-04",6468948
"Croatia","2021-04-06",6995362
"Croatia","2021-04-07",7528771
"Croatia","2021-04-08",8072207
"Croatia","2021-04-09",8637992
"Croatia","2021-04-10",9221923
"Croatia","2021-04-11",9810106
"Croatia","2021-04-12",10405475
"Croatia","2021-04-13",11010898
"Croatia","2021-04-14",11628414
"Croatia","2021-04-15",12272248
"Croatia","2021-04-16",12944087
"Croatia","2021-04-17",13635352
"Croatia","2021-04-18",14328882
"Croatia","2021-04-19",15026914
"Croatia","2021-04-20",15735874
"Croatia","2021-04-21",16462189
"Croatia","2021-04-22",17209067
"Croatia","2021-04-23",17979288
"Croatia","2021-04-24",18765157
"Croatia","2021-04-25",19560754
"Croatia","2021-04-26",20359471
"Croatia","2021-04-27",21172455
"Croatia","2021-04-28",21998294
"Croatia","2021-04-29",22871020
"Croatia","2021-04-30",23772140
"Croatia","2021-05-01",24679715
"Croatia","2021-05-02",25588554
"Croatia","2021-05-03",26510081
"Croatia","2021-05-04",27454479
"Croatia","2021-05-05",28433660
"Croatia","2021-05-06",29459361
"Croatia","2021-05-07",30538121
"Croatia","2021-05-08",31655830
"Croatia","2021-05-09",32787437
"Croatia","2021-05-10",33941756
"Croatia","2021-05-11",35128337
"Croatia","2021-05-13",36396618
"Croatia","2021-05-14",37707074
"Croatia","2021-05-15",39054065
"Croatia","2021-05-16",40403512
"Croatia","2021-05-17",41773481
"Croatia","2021-05-18",43179760
"Croatia","2021-05-19",44629929
"Croatia","2021-05-21",46179297
"Croatia","2021-05-22",47760589
"Croatia","2021-05-23",49343410
"Croatia","2021-05-24",50948697
"Croatia","2021-05-25",52556988
"Croatia","2021-05-26",54202320
"Croatia","2021-05-27",55888905
"Croatia","2021-05-28",57611335
"Croatia","2021-05-29",59360061
"Croatia","2021-05-30",61111148
"Croatia","2021-05-31",62884437
"Croatia","2021-06-01",64687994
"Croatia","2021-06-02",66535308
"Croatia","2021-06-03",68390311
"Croatia","2021-06-04",70276083
"Croatia","2021-06-05",72178175
"Croatia","2021-06-06",74081848
"Croatia","2021-06-07",76002504
"Croatia","2021-06-08",77950288
"Croatia","2021-06-10",79993177
"Croatia","2021-06-11",82080334
"Croatia","2021-06-13",84220150
"Croatia","2021-06-14",86385024
"Croatia","2021-06-15",88581576
"Croatia","2021-06-16",90800772
"Croatia","2021-06-18",93119200
"Croatia","2021-06-20",95478672
"Croatia","2021-06-21",97858330
"Cuba","2021-05-31",2037745
"Cuba","2021-06-01",4261571
"Cuba","2021-06-02",6669706
"Cuba","2021-06-03",9262281
"Cuba","2021-06-04",11997135
"Cuba","2021-06-05",14841817
"Cuba","2021-06-06",17724404
"Cuba","2021-06-07",20670976
"Cuba","2021-06-08",23687242
"Cuba","2021-06-09",26815815
"Cuba","2021-06-10",30088394
"Cuba","2021-06-11",33508051
"Cuba","2021-06-12",37091760
"Cuba","2021-06-13",40723840
"Cuba","2021-06-14",44572246
"Cuba","2021-06-15",48656524
"Cuba","2021-06-16",52984815
"Cuba","2021-06-17",57521697
"Cuba","2021-06-18",62243296
"Cuba","2021-06-19",67098566
"Cuba","2021-06-20",71990610
"Curacao","2021-03-29",19609
"Curacao","2021-03-30",40094
"Curacao","2021-04-01",62433
"Curacao","2021-04-05",90570
"Curacao","2021-04-06",120776
"Curacao","2021-04-07",153106
"Curacao","2021-04-08",187236
"Curacao","2021-04-09",224102
"Curacao","2021-04-10",264750
"Curacao","2021-04-13",314676
"Curacao","2021-04-14",368195
"Curacao","2021-04-15",426370
"Curacao","2021-04-16",487401
"Curacao","2021-04-17",551848
"Curacao","2021-04-19",620608
"Curacao","2021-04-20",692581
"Curacao","2021-04-21",767420
"Curacao","2021-04-22",845107
"Curacao","2021-04-23",925463
"Curacao","2021-04-24",1009479
"Curacao","2021-04-25",1094195
"Curacao","2021-04-26",1180976
"Curacao","2021-04-27",1270169
"Curacao","2021-04-28",1359915
"Curacao","2021-04-29",1453834
"Curacao","2021-04-30",1549527
"Curacao","2021-05-01",1647023
"Curacao","2021-05-02",1744527
"Curacao","2021-05-03",1845054
"Curacao","2021-05-04",1947857
"Curacao","2021-05-05",2053577
"Curacao","2021-05-06",2160548
"Curacao","2021-05-08",2268750
"Curacao","2021-05-09",2378194
"Curacao","2021-05-10",2488297
"Curacao","2021-05-11",2599743
"Curacao","2021-05-12",2712709
"Curacao","2021-05-13",2828270
"Curacao","2021-05-14",2945883
"Curacao","2021-05-15",3065992
"Curacao","2021-05-16",3189629
"Curacao","2021-05-17",3315262
"Curacao","2021-05-18",3444321
"Curacao","2021-05-19",3576727
"Curacao","2021-05-20",3712029
"Curacao","2021-05-21",3852024
"Curacao","2021-05-22",3994126
"Curacao","2021-05-23",4137215
"Curacao","2021-05-24",4281786
"Curacao","2021-05-25",4428791
"Curacao","2021-05-26",4576141
"Curacao","2021-05-27",4724828
"Curacao","2021-05-28",4875147
"Curacao","2021-05-29",5026449
"Curacao","2021-05-30",5178709
"Curacao","2021-05-31",5332488
"Curacao","2021-06-01",5486914
"Curacao","2021-06-02",5642122
"Curacao","2021-06-03",5798310
