"location","vaccines_name"
"Eswatini","Oxford/AstraZeneca"
"Ethiopia","Oxford/AstraZeneca"
"Faeroe Islands","Moderna"
"Faeroe Islands","Pfizer/BioNTech"
"Falkland Islands","Oxford/AstraZeneca"
"Fiji","Oxford/AstraZeneca"
"Finland","Moderna"
"Finland","Oxford/AstraZeneca"
"Finland","Pfizer/BioNTech"
"France","Johnson&Johnson"
"France","Moderna"
"France","Oxford/AstraZeneca"
"France","Pfizer/BioNTech"
"French Polynesia","Oxford/AstraZeneca"
"Gabon","Sinopharm/Beijing"
"Gambia","Oxford/AstraZeneca"
"Gambia","Sinopharm/Beijing"
"Georgia","Oxford/AstraZeneca"
"Germany","Johnson&Johnson"
"Germany","Moderna"
"Germany","Oxford/AstraZeneca"
"Germany","Pfizer/BioNTech"
"Ghana","Oxford/AstraZeneca"
"Ghana","Sputnik V"
"Gibraltar","Pfizer/BioNTech"
"Greece","Johnson&Johnson"
"Greece","Moderna"
"Greece","Oxford/AstraZeneca"
"Greece","Pfizer/BioNTech"
"Greenland","Moderna"
"Grenada","Oxford/AstraZeneca"
"Guatemala","Moderna"
"Guatemala","Oxford/AstraZeneca"
"Guernsey","Moderna"
"Guernsey","Oxford/AstraZeneca"
"Guernsey","Pfizer/BioNTech"
"Guinea","Sputnik V"
"Guinea-Bissau","Oxford/AstraZeneca"
"Guinea-Bissau","Sinopharm/Beijing"
"Guyana","Oxford/AstraZeneca"
"Guyana","Sputnik V"
"Honduras","Johnson&Johnson"
"Honduras","Moderna"
"Honduras","Oxford/AstraZeneca"
"Honduras","Sputnik V"
"Hong Kong","Pfizer/BioNTech"
"Hong Kong","Sinovac"
"Hungary","Johnson&Johnson"
"Hungary","Moderna"
"Hungary","Oxford/AstraZeneca"
"Hungary","Pfizer/BioNTech"
"Hungary","Sinopharm/Beijing"
"Hungary","Sputnik V"
"Iceland","Johnson&Johnson"
"Iceland","Moderna"
"Iceland","Oxford/AstraZeneca"
"Iceland","Pfizer/BioNTech"
"India","Covaxin"
"India","Oxford/AstraZeneca"
"Indonesia","Oxford/AstraZeneca"
"Indonesia","Sinovac"
"Iran","BBIBP-CorV"
"Iran","Covaxin"
"Iran","Oxford/AstraZeneca"
"Iran","Sputnik V"
"Iraq","BBIBP-CorV"
"Iraq","Oxford/AstraZeneca"
"Iraq","Pfizer/BioNTech"
"Iraq","Sputnik V"
"Ireland","Johnson&Johnson"
"Ireland","Moderna"
"Ireland","Oxford/AstraZeneca"
"Ireland","Pfizer/BioNTech"
"Isle of Man","Oxford/AstraZeneca"
"Isle of Man","Pfizer/BioNTech"
"Israel","Moderna"
"Israel","Pfizer/BioNTech"
"Italy","Johnson&Johnson"
"Italy","Moderna"
"Italy","Oxford/AstraZeneca"
"Italy","Pfizer/BioNTech"
"Jamaica","Oxford/AstraZeneca"
"Japan","Moderna"
"Japan","Pfizer/BioNTech"
"Jersey","Moderna"
"Jersey","Oxford/AstraZeneca"
"Jersey","Pfizer/BioNTech"
"Jordan","Oxford/AstraZeneca"
"Jordan","Pfizer/BioNTech"
"Jordan","Sinopharm/Beijing"
"Jordan","Sputnik V"
"Kazakhstan","QazVac"
"Kazakhstan","Sinopharm/HayatVax"
"Kazakhstan","Sputnik V"
"Kenya","Oxford/AstraZeneca"
"Kenya","Sputnik V"
"Kosovo","Oxford/AstraZeneca"
"Kuwait","Pfizer/BioNTech"
"Kyrgyzstan","Sinopharm/Beijing"
"Kyrgyzstan","Sputnik V"
"Laos","Sinopharm/Beijing"
"Laos","Sputnik V"
