location,iso_code,last_observation_date,vaccines
Eswatini,SWZ,13-05-2021,Oxford/AstraZeneca
Ethiopia,ETH,20-06-2021,Oxford/AstraZeneca
Faeroe Islands,FRO,21-06-2021,"Moderna, Pfizer/BioNTech"
Falkland Islands,FLK,14-04-2021,Oxford/AstraZeneca
Fiji,FJI,21-06-2021,Oxford/AstraZeneca
Finland,FIN,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,20-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
French Polynesia,PYF,21-06-2021,Oxford/AstraZeneca
Gabon,GAB,18-06-2021,Sinopharm/Beijing
Gambia,GMB,08-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Georgia,GEO,20-06-2021,Oxford/AstraZeneca
Germany,DEU,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Ghana,GHA,20-06-2021,"Oxford/AstraZeneca, Sputnik V"
Gibraltar,GIB,21-06-2021,Pfizer/BioNTech
Greece,GRC,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Greenland,GRL,18-06-2021,Moderna
Grenada,GRD,18-06-2021,Oxford/AstraZeneca
Guatemala,GTM,20-06-2021,"Moderna, Oxford/AstraZeneca"
Guernsey,GGY,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Guinea,GIN,17-06-2021,Sputnik V
Guinea-Bissau,GNB,08-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Guyana,GUY,16-06-2021,"Oxford/AstraZeneca, Sputnik V"
Honduras,HND,18-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V"
Hong Kong,HKG,21-06-2021,"Pfizer/BioNTech, Sinovac"
Hungary,HUN,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Iceland,ISL,17-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,21-06-2021,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,21-06-2021,"Oxford/AstraZeneca, Sinovac"
Iran,IRN,14-06-2021,"BBIBP-CorV, Covaxin, Oxford/AstraZeneca, Sputnik V"
Iraq,IRQ,20-06-2021,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
Ireland,IRL,13-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Isle of Man,IMN,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,21-06-2021,"Moderna, Pfizer/BioNTech"
Italy,ITA,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Jamaica,JAM,11-06-2021,Oxford/AstraZeneca
Japan,JPN,21-06-2021,"Moderna, Pfizer/BioNTech"
Jersey,JEY,16-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Jordan,JOR,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Kazakhstan,KAZ,21-06-2021,"QazVac, Sinopharm/HayatVax, Sputnik V"
Kenya,KEN,21-06-2021,"Oxford/AstraZeneca, Sputnik V"
Kosovo,OWID_KOS,20-06-2021,Oxford/AstraZeneca
Kuwait,KWT,20-06-2021,Pfizer/BioNTech
Kyrgyzstan,KGZ,09-06-2021,"Sinopharm/Beijing, Sputnik V"
Laos,LAO,19-06-2021,"Sinopharm/Beijing, Sputnik V"
Latvia,LVA,21-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lebanon,LBN,20-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Lesotho,LSO,21-05-2021,Oxford/AstraZeneca
Liberia,LBR,20-06-2021,Oxford/AstraZeneca
Libya,LBY,16-06-2021,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Liechtenstein,LIE,20-06-2021,"Moderna, Pfizer/BioNTech"
